,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_VALUE
87,CHEMBL30950,Cc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,14.0
88,CHEMBL3098274,CCCCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,14.0
89,CHEMBL202607,CCCN(c1c(Cl)cccc1Cl)S(=O)(=O)c2ccc(O)c(C)c2,16.0
90,CHEMBL1201151,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,18.0
91,CHEMBL126164,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,18.0
92,CHEMBL316080,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,21.0
93,CHEMBL1087546,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCCN6CCCCC6)cc5,22.0
94,CHEMBL144897,Oc1ccc2c(C=C(c3ccccc3)C24Cc5ccccc5C4)c1,24.0
95,CHEMBL385514,CCCCC1=C2c3ccc(O)cc3CC2(Cc4ccccc4)CCC1=O,25.0
96,CHEMBL202500,CCCN(c1c(C)cccc1Cl)S(=O)(=O)c2ccc(O)c(C)c2,26.0
97,CHEMBL93792,Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4cccc5ccccc45,28.0
98,CHEMBL214972,Oc1ccc(cc1)C2=C3c4ccc(O)cc4CC3(Cc5ccccc5)CCC2=O,29.0
99,CHEMBL91740,CCCc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,29.4
100,CHEMBL44,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,29.4
101,CHEMBL2403349,CC[Si](CC)(c1ccc(O)c(C)c1)c2ccc(O)c(C)c2,29.7
102,CHEMBL4101697,CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(\C=C\C(=O)O)cc4,30.0
103,CHEMBL286115,Oc1ccc(cc1)[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,31.0
104,CHEMBL101997,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCC5)cc4,31.0
105,CHEMBL374277,Oc1ccc(c(O)c1)c2nn(c3cc(F)ccc3F)c4cc(O)ccc24,31.0
106,CHEMBL4092625,OC(=O)CCc1ccc(Oc2c(sc3cc(O)ccc23)c4ccc(O)cc4)cc1,31.0
107,CHEMBL1627351,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,32.0
108,CHEMBL4087929,Cn1nnc(\C=C\c2ccc(Oc3c(sc4cc(O)ccc34)c5ccc(O)cc5)cc2)n1,34.0
109,CHEMBL315761,Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,35.0
110,CHEMBL231811,O\N=C\c1ccc(c2ccc(O)cc2)c3sccc13,37.0
111,CHEMBL195216,CCN1CCN(CC1C)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccccc5,38.0
113,CHEMBL3806167,CCCCCCCCCCNCCOc1ccc(cc1)C(=O)c2c(sc3cc(O)ccc23)c4ccc(O)cc4,40.0
114,CHEMBL193146,Oc1ccc(cc1)c2cc(F)c3c(Cl)c(O)ccc3c2,40.0
115,CHEMBL92720,COc1ccc(cc1)C2Sc3cc(O)ccc3OC2c4ccc(OCCN5CCCCC5)cc4,41.1
116,CHEMBL83,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,42.0
117,CHEMBL4104400,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(\C=C\c5oc(CO)nn5)cc4,43.0
118,CHEMBL100595,CC(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,46.0
119,CHEMBL363498,Oc1ccc(cc1)c2oc3c(cc(O)cc3c2)C#N,46.0
120,CHEMBL4093373,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(\C=C\C(=O)NCCC(F)(F)F)cc4,46.0
122,CHEMBL187915,Oc1ccc(c(F)c1)c2oc3c(Br)cc(O)cc3n2,47.0
123,CHEMBL190682,Oc1ccc(cc1)C2=C(c3ccccc3)c4c(O)cc(O)cc4C2=O,47.0
124,CHEMBL3657153,Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCC(O)CC4)cc3)c5ccc(O)cc15,47.0
125,CHEMBL1098710,CCOC(=O)C1(Cc2ccc(cc2C1)[C@]3(O)CC[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]34C)C#N,47.53
126,CHEMBL103305,CC1(N(CCc2cc(O)ccc12)c3cccc(Cl)c3)c4ccc(OCCN5CCCCC5)cc4,48.98
127,CHEMBL4068267,Oc1ccc(cc1)c2sc3cc(O)ccc3c2Oc4ccc(\C=C\c5c[nH]cn5)cc4,53.0
128,CHEMBL382598,CCCN(c1ccccc1C(F)(F)F)S(=O)(=O)c2ccc(O)cc2,54.0
129,CHEMBL192390,Oc1ccc(cc1F)c2ccc3c(Cl)c(O)cc(C#N)c3c2,55.0
130,CHEMBL3427404,CN(C1=C(C(=O)Oc2cc(O)ccc12)c3ccc(F)cc3C)c4ccc(\C=C\C(=O)O)cc4,60.0
131,CHEMBL1085429,COc1ccc2C3=C(CCOc2c1)c4ccc(OC)cc4O[C@@H]3c5ccc(OCCN6CCCCC6)cc5,64.0
132,CHEMBL1087297,Oc1ccc2C3=C(CCOc2c1)c4ccccc4O[C@H]3c5ccc(OCCN6CCCCCC6)cc5,68.0
133,CHEMBL33808,CCc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,68.0
134,CHEMBL10041,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,70.0
135,CHEMBL219390,,71.6
136,CHEMBL3427414,Cc1cc(F)ccc1C2=C(Oc3ccc(\C=C\C(=O)O)cc3)c4ccccc4OC2=O,72.0
137,CHEMBL30707,Oc1ccc2c(OC(=O)c3c2oc4cc(O)ccc34)c1,75.7
138,CHEMBL383533,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCO)/c2ccccc2)\c3ccc(O)cc3,79.0
139,CHEMBL3774642,CCCCCCCCCC(=O)Oc1ccc(cc1)\C(=C(\C)/c2ccccc2)\c3ccc(OCCN4CCCCC4)cc3,81.0
141,CHEMBL3925136,Cl.CN(C)CCOc1ccc(cc1)C(=C(C#N)c2ccccc2)c3ccccc3,86.0
142,CHEMBL1083178,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCSCC6)cc5,87.0
143,CHEMBL192187,CN1CCC(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccc(F)cc5,87.0
144,CHEMBL10560,CC[C@@]12CC[C@@](O)(C[C@H]1CCc3cc(O)ccc23)C#CC,89.0
145,CHEMBL4091541,Cc1ccccc1c2sc3cc(O)ccc3c2Oc4ccc(\C=C\C(=O)O)cc4,89.0
146,CHEMBL3775342,OC(=O)\C=C\c1ccc(cc1)C2N(Cc3ccccc3)CCc4cc(O)ccc24,90.0
147,CHEMBL1405,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,96.0
148,CHEMBL1087289,Oc1ccc2C3=C([C@H](Oc2c1)c4ccc(OCCN5CCCCC5)cc4)c6ccccc6OCC3,100.0
150,CHEMBL328475,Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccc4ccccc4c3)c5ccc(OCCN6CCCC6)cc5,112.0
151,CHEMBL1084128,CCN(CC)CCOc1ccc(cc1)[C@H]2Oc3ccccc3C4=C2c5ccc(O)cc5OCC4,113.0
152,CHEMBL209978,Oc1ccc2C3=C(Br)C(=O)CCC3(Cc2c1)c4ccccc4,113.0
153,CHEMBL193518,Oc1ccc2C(=C(C(=O)Oc2c1)c3ccc(Cl)cc3)Cc4ccccc4,120.0
154,CHEMBL379821,CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)I,124.0
155,CHEMBL196836,Oc1ccc2c(c1)sc3c4ccccc4n(Cc5ccc(OCCN6CCOCC6)cc5)c23,126.0
156,CHEMBL3589361,OC(=O)CCCCCCC(=O)Nc1ccc(cc1)C2=C(C3CC(C2O3)S(=O)(=O)Oc4ccccc4O)c5ccc(O)cc5,140.0
157,CHEMBL3099432,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC=C2CO,145.0
158,CHEMBL33053,COc1cc(O)ccc1[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,149.0
159,CHEMBL1086775,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCC6)cc5,150.0
160,CHEMBL1087426,Oc1ccc2C3=C(CCOc2c1)c4ccccc4O[C@H]3c5ccc(OCCN6CCCCC6)cc5,150.0
161,CHEMBL3657182,Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CC5(C)CC4C(C)(C)C5)cc3)c6ccc(O)cc16,150.0
162,CHEMBL183367,Oc1ccc2c(cccc2c1)c3oc4ccc(O)cc4n3,153.0
163,CHEMBL1208076,Oc1ccc(cc1)C2(CCCC2)c3ccc(O)cc3,170.0
164,CHEMBL427180,COc1cc(O)ccc1c2ccc3cc(O)ccc3c2,174.0
166,CHEMBL377644,CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C(F)(F)F,176.0
167,CHEMBL192849,CC#Cc1cc(O)cc2ccc(cc12)c3ccc(O)c(F)c3,180.0
168,CHEMBL78413,Oc1ccc2Oc3c(oc4ccc(O)cc34)C(=O)c2c1,180.0
169,CHEMBL189080,Oc1ccc2c(noc2c1)c3ccc(O)c(Br)c3,183.0
170,CHEMBL1087041,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5cccc(OCCN6CCCCC6)c5,190.0
171,CHEMBL381298,CC(C)CC12CCC(=O)C(=C1c3ccc(O)cc3C2)C,195.0
172,CHEMBL211870,CCC12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)Br,197.0
174,CHEMBL192154,Oc1ccc2cc(cc(C#N)c2c1)c3ccc(O)c(F)c3,210.0
175,CHEMBL3581633,CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccc(O)cc3,220.0
176,CHEMBL4098201,CCCC(CCC)(c1ccc(OCCN(C)C)c(C)c1)c2ccc(O)c(O)c2,225.0
177,CHEMBL2403360,CCc1cc(ccc1O)C(CC)(CC)c2ccc(O)c(CC)c2,230.0
178,CHEMBL426849,Oc1ccc(cc1)S(=O)(=O)N(CC=C)c2ccccc2,235.0
180,CHEMBL192016,Oc1ccc2cc(cc(C#C)c2c1)c3ccc(O)c(F)c3,247.0
181,CHEMBL204434,CCCN(c1ccccc1c2ccccc2)S(=O)(=O)c3ccc(O)c(C)c3,253.0
182,CHEMBL1087289,Oc1ccc2C3=C([C@H](Oc2c1)c4ccc(OCCN5CCCCC5)cc4)c6ccccc6OCC3,259.0
183,CHEMBL438516,O\N=C\c1c(Cl)cc(cc1Cl)c2ccc(O)c(F)c2,270.0
184,CHEMBL190467,Oc1ccc(cc1)C2=C(Br)c3ccc(O)cc3C2=O,290.0
185,CHEMBL2071180,Oc1ccc(cc1)C(=O)OC(c2ccccc2)c3ccccc3,290.0
186,CHEMBL205070,CCCN(c1ccccc1)S(=O)(=O)c2ccc(O)cc2,303.0
187,CHEMBL4067493,Cc1cc(ccc1O)c2sc3cc(O)ccc3c2Oc4ccc(\C=C\C(=O)O)cc4,327.0
188,CHEMBL214291,CC1=C2c3ccc4[nH]nnc4c3CC2(Cc5ccc(F)cc5)CCC1=O,340.0
189,CHEMBL3657137,COc1ccc2c(c1)c(C)c(c3ccc(O)cc3)n2Cc4ccc(OCCN5CCCCC5)cc4,350.0
190,CHEMBL1475434,Clc1cccc(c1)N2CCN(CC2)C(=O)CCCCCN3C(=S)Nc4ccccc4C3=O,350.0
191,CHEMBL188458,Oc1ccc2c(noc2c1)c3ccc4c(Br)c(O)ccc4c3,360.0
192,CHEMBL25580,Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,366.0
193,CHEMBL3823498,CNCCCCCCCCCCCCn1c(c(C)c2cc(O)ccc12)c3ccc(O)cc3,380.0
194,CHEMBL210063,Oc1ccc2C3=C(C(=O)CCC3(Cc4ccccc4)Cc2c1)c5ccc(OCCN6CCCCC6)cc5,380.0
195,CHEMBL200799,Oc1ccc(cc1)c2[nH]c(nc2c3ccccc3)C(F)(F)F,403.0
196,CHEMBL374799,OCCn1nc(c2ccc(O)cc2)c3cccc(Cl)c13,410.0
197,CHEMBL1087546,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCCN6CCCCC6)cc5,420.0
198,CHEMBL189556,Oc1ccc2c(cccc2c1)c3oc4cc(O)c(F)cc4n3,434.0
199,CHEMBL362356,Oc1ccc(cc1)c2oc3cc(Cl)c(O)cc3n2,464.0
200,CHEMBL209623,CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C5CC5,470.0
201,CHEMBL3427390,OC(=O)\C=C\c1ccc(CC2=C(C(=O)Oc3cc(O)ccc23)c4ccc(Cl)cc4)cc1,471.0
202,CHEMBL363963,Oc1cc(C=C)c2oc(nc2c1)c3ccc(O)c(F)c3F,474.0
203,CHEMBL2403363,CCCC(CCC)(c1ccc(O)c(CC)c1)c2ccc(O)c(CC)c2,490.0
204,CHEMBL4083658,OC(=O)\C=C\c1ccc(cc1)C(=C2C3CC4CC(CC2C4)C3)c5ccc(O)cc5,500.0
205,CHEMBL4100053,CC1(N(CCc2cc(O)ccc12)c3cccc(F)c3)c4ccc(\C=C\C(=O)O)cc4,505.0
206,CHEMBL192068,Oc1ccc2cc(ccc2c1Cl)c3cc(F)c(O)c(F)c3,519.0
207,CHEMBL3657140,COc1ccc(cc1)c2c(C)c3cc(OC)ccc3n2Cc4ccc(OCCN5CCCCCC5)cc4,520.0
208,CHEMBL30574,Oc1ccc2C(=O)[C@H]([C@H](Oc2c1)c3ccc(OCCN4CCCCC4)cc3)c5ccccc5,531.0
209,CHEMBL3936897,Cl.Cl.N#CC(=C(c1ccc(OCCN2CCOCC2)cc1)c3ccc(OCCN4CCOCC4)cc3)c5ccccc5,553.0
210,CHEMBL364551,COc1c(Br)c(O)c(Br)c2nc(oc12)c3ccc(O)c(F)c3,559.0
211,CHEMBL44,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,580.0
212,CHEMBL414859,Cc1cc(O)cc2C(=O)Oc3c(C)c(O)ccc3c12,583.0
